ความถี่,§Η΄’ιΝΑΩΕ,ΝΡ΅Γ�‘�ΓΗθ�§§�Ή ΌΩι·Υθΰ€Β·Σ§�ΉΑ�‘θΝΉ (΅ΡΗΰΕ’),,,,,
MTH,2554/01,0.70,,,,,
MTH,2554/02,0.41,,,,,
MTH,2554/03,0.45,,,,,
MTH,2554/04,0.52,,,,,
MTH,2554/05,0.47,,,,,
MTH,2554/06,0.33,,,,,
MTH,2554/07,0.26,,,,,
MTH,2554/08,0.38,,,,,
MTH,2554/09,0.37,,,,,
MTH,2554/10,0.44,,,,,
MTH,2554/11,0.59,,,,,
MTH,2554/12,0.31,,,,,
MTH,2555/01,0.54,,,,,
MTH,2555/02,0.45,,,,,
MTH,2555/03,0.51,,,,,
MTH,2555/04,0.54,,,,,
MTH,2555/05,0.52,,,,,
MTH,2555/06,0.37,,,,,
MTH,2555/07,0.25,,,,,
MTH,2555/08,0.24,,,,,
MTH,2555/09,0.35,,,,,
MTH,2555/10,0.41,,,,,
MTH,2555/11,0.25,,,,,
MTH,2555/12,0.31,,,,,
MTH,2556/01,0.57,,,,,
MTH,2556/02,0.36,,,,,
MTH,2556/03,0.43,,,,,
MTH,2556/04,0.52,,,,,
MTH,2556/05,0.33,,,,,
MTH,2556/06,0.25,,,,,
MTH,2556/07,0.40,,,,,
MTH,2556/08,0.44,,,,,
MTH,2556/09,0.32,,,,,
MTH,2556/10,0.39,,,,,
MTH,2556/11,0.39,,,,,
MTH,2556/12,0.31,,,,,
MTH,2557/01,0.57,,,,,
MTH,2557/02,0.51,,,,,
MTH,2557/03,0.46,,,,,
MTH,2557/04,0.45,,,,,
MTH,2557/05,0.42,,,,,
MTH,2557/06,0.63,,,,,
MTH,2557/07,0.54,,,,,
MTH,2557/08,0.38,,,,,
MTH,2557/09,0.40,,,,,
MTH,2557/10,0.46,,,,,
MTH,2557/11,0.25,,,,,
MTH,2557/12,0.34,,,,,
MTH,2558/01,0.63,,,,,
MTH,2558/02,0.43,,,,,
MTH,2558/03,0.51,,,,,
MTH,2558/04,0.45,,,,,
MTH,2558/05,0.38,,,,,
MTH,2558/06,0.42,,,,,
MTH,2558/07,0.54,,,,,
MTH,2558/08,0.42,,,,,
MTH,2558/09,0.42,,,,,
MTH,2558/10,0.47,,,,,
MTH,2558/11,0.58,,,,,
MTH,2558/12,0.43,,,,,
MTH,2559/01,0.52,,,,,
MTH,2559/02,0.49,,,,,
MTH,2559/03,0.59,,,,,
MTH,2559/04,0.54,,,,,
MTH,2559/05,0.72,,,,,
MTH,2559/06,0.45,,,,,
MTH,2559/07,0.51,,,,,
MTH,2559/08,0.40,,,,,
MTH,2559/09,0.44,,,,,
MTH,2559/10,0.64,,,,,
MTH,2559/11,0.53,,,,,
MTH,2559/12,0.52,,,,,
MTH,2560/01,0.68,,,,,
MTH,2560/02,0.64,,,,,
MTH,2560/03,0.71,,,,,
MTH,2560/04,0.56,,,,,
MTH,2560/05,0.66,,,,,
MTH,2560/06,0.48,,,,,
MTH,2560/07,0.48,,,,,
MTH,2560/08,0.53,,,,,
MTH,2560/09,0.55,,,,,
MTH,2560/10,0.62,,,,,
MTH,2560/11,0.58,,,,,
MTH,2560/12,0.40,,,,,
MTH,2561/01,0.71,,,,,
MTH,2561/02,0.67,,,,,
MTH,2561/03,0.59,,,,,
MTH,2561/04,0.45,,,,,
MTH,2561/05,0.50,,,,,
MTH,2561/06,0.47,,,,,
MTH,2561/07,0.46,,,,,
MTH,2561/08,0.47,,,,,
MTH,2561/09,0.51,,,,,
MTH,2561/10,0.54,,,,,
MTH,2561/11,0.46,,,,,
MTH,2561/12,0.44,,,,,
MTH,2562/01,0.55,,,,,
MTH,2562/02,0.37,,,,,
MTH,2562/03,0.40,,,,,
MTH,2562/04,0.41,,,,,
MTH,2562/05,0.52,,,,,
MTH,2562/06,0.38,,,,,
MTH,2562/07,0.57,,,,,
MTH,2562/08,0.51,,,,,
,,,,,,,
